卫视频道,#genre#
兵团卫视,http://112.132.10.54:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://183.11.239.36:808/hls/46/index.m3u8
广东卫视,http://183.11.239.36:808/hls/80/index.m3u8
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
广东卫视,http://58.57.40.22:9901/tsfile/live/1039_1.m3u8
康巴卫视,http://111.202.12.159:8080/3zvkK28/1000/live.m3u8
天津卫视,http://183.11.239.36:808/hls/42/index.m3u8
江西卫视,http://183.11.239.36:808/hls/44/index.m3u8
兵团卫视,http://183.11.239.36:808/hls/7/index.m3u8
山东卫视,http://218.17.33.178:53290/tsfile/live/0131_1.m3u8?key=txiptv
河北卫视,http://58.57.40.22:9901/tsfile/live/1044_1.m3u8
山东卫视,http://183.11.239.36:808/hls/43/index.m3u8
深圳卫视,http://183.11.239.36:808/hls/45/index.m3u8
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
北京卫视,http://183.11.239.36:808/hls/41/index.m3u8
内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8
辽宁卫视,http://183.11.239.36:808/hls/47/index.m3u8
辽宁卫视,http://58.57.40.22:9901/tsfile/live/1035_1.m3u8
黑龙江卫视,http://58.57.40.22:9901/tsfile/live/1040_1.m3u8
贵州卫视,http://183.11.239.36:808/hls/49/index.m3u8
江西卫视,http://223.241.247.214:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://cssbyd.imwork.net:8082/hls/45/index.m3u8
深圳卫视,http://58.57.40.22:9901/tsfile/live/1036_1.m3u8
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8
青海卫视,http://58.57.40.22:9901/tsfile/live/1057_1.m3u8
贵州卫视,http://58.57.40.22:9901/tsfile/live/1042_1.m3u8
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8
东方卫视,http://58.57.40.22:9901/tsfile/live/1030_1.m3u8
江西卫视,http://58.57.40.22:9901/tsfile/live/1043_1.m3u8
河南卫视,http://58.57.40.22:9901/tsfile/live/1048_1.m3u8
新疆卫视,http://219.146.95.58:59902/tsfile/live/0110_1.m3u8?txiptv
东南卫视,http://58.57.40.22:9901/tsfile/live/1037_1.m3u8
北京卫视,http://58.57.40.22:9901/tsfile/live/1032_1.m3u8
广东卫视,http://219.145.59.166:8888/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://223.241.247.214:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://58.57.40.22:9901/tsfile/live/1050_1.m3u8
安徽卫视,http://58.57.40.22:9901/tsfile/live/1033_1.m3u8
莲花卫视,https://fenghuang.tv12.xyz/187.m3u8
宁夏卫视,http://58.57.40.22:9901/tsfile/live/1054_1.m3u8
东方卫视,http://124.116.183.146:9901/tsfile/live/0107_1.m3u8
陕西卫视,http://124.116.183.146:9901/tsfile/live/0136_1.m3u8
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
江西卫视,http://223.241.247.214:9901/tsfile/live/0138_1.m3u8
广西卫视,http://223.241.247.214:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://223.241.247.214:9901/tsfile/live/1011_1.m3u8
湖北卫视,http://124.116.183.146:9901/tsfile/live/0132_1.m3u8
甘肃卫视,http://223.241.247.214:9901/tsfile/live/0141_1.m3u8
广东卫视,http://223.241.247.214:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://124.116.183.146:9901/tsfile/live/0123_1.m3u8
山东卫视,http://182.150.23.74:808/hls/23/index.m3u8
内蒙古卫视,http://111.61.236.247:9081/hls/48/index.m3u8
山东卫视,http://219.145.59.166:8888/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://111.61.236.247:9081/hls/17/index.m3u8
甘肃卫视,http://113.25.252.226:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://124.116.183.146:9901/tsfile/live/0143_1.m3u8
宁夏卫视,http://111.61.236.247:9081/hls/51/index.m3u8
青海卫视,http://113.25.252.226:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://124.116.183.146:9901/tsfile/live/0142_1.m3u8
四川卫视,http://113.25.252.226:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
湖北卫视,http://223.241.247.214:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8
天津卫视,http://124.116.183.146:9901/tsfile/live/0135_1.m3u8
江苏卫视,http://61.184.46.85:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
内蒙古卫视,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
深圳卫视,http://183.215.134.239:19901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://223.241.247.214:9901/tsfile/live/0113_1.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
山东卫视,http://36.32.174.67:60080/newlive/live/hls/42/live.m3u8
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8
西藏卫视,http://36.32.174.67:60080/newlive/live/hls/48/live.m3u8
宁夏卫视,http://36.32.174.67:60080/newlive/live/hls/49/live.m3u8
河南卫视,http://61.184.46.85:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://sh.lnott.top:880/dx29.m3u8
河北卫视,http://36.32.174.67:60080/newlive/live/hls/36/live.m3u8
海南卫视,http://36.32.174.67:60080/newlive/live/hls/46/live.m3u8
广西卫视,http://36.32.174.67:60080/newlive/live/hls/38/live.m3u8
东南卫视,http://36.32.174.67:60080/newlive/live/hls/33/live.m3u8
陕西卫视,http://36.32.174.67:60080/newlive/live/hls/44/live.m3u8
云南卫视,http://36.32.174.67:60080/newlive/live/hls/45/live.m3u8
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
河北卫视,http://39.164.160.249:9901/tsfile/live/0117_1.m3u8
厦门卫视,http://stream.jinjiang.tv/1/sd/live.m3u8?zfud
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
吉林卫视,http://36.32.174.67:60080/newlive/live/hls/40/live.m3u8
江西卫视,http://36.32.174.67:60080/newlive/live/hls/22/live.m3u8
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8
新疆卫视,http://36.32.174.67:60080/newlive/live/hls/47/live.m3u8
重庆卫视,http://36.32.174.67:60080/newlive/live/hls/34/live.m3u8
河南卫视,http://120.238.94.10:9901/tsfile/live/1068_1.m3u8
广东卫视,http://120.238.94.10:9901/tsfile/live/1008_1.m3u8
西藏卫视,http://120.238.94.10:9901/tsfile/live/1077_1.m3u8
湖北卫视,http://120.238.94.10:9901/tsfile/live/1055_1.m3u8
广西卫视,http://cssbyd.imwork.net:8082/hls/33/index.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
新疆卫视,http://222.169.85.8:9901/tsfile/live/0110_1.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
山东教育卫视,http://120.76.248.139/live/bfgd/4200000112.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
甘肃卫视,http://120.238.94.10:9901/tsfile/live/1079_1.m3u8
四川卫视,http://58.57.40.22:9901/tsfile/live/1046_1.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
西藏卫视,http://219.146.95.58:59902/tsfile/live/0111_1.m3u8
广东卫视,http://39.164.160.249:9901/tsfile/live/0125_1.m3u8
广西卫视,http://58.57.40.22:9901/tsfile/live/1049_1.m3u8
江西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
辽宁卫视,http://223.241.247.214:9901/tsfile/live/0121_1.m3u8
辽宁卫视,http://223.241.247.214:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://gfr.x3322.net:9901/tsfile/live/1090_1.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
内蒙古蒙语卫视,http://play1-qk.nmtv.cn/live/1686560387346365.m3u8
云南卫视,http://111.61.236.247:9081/hls/32/index.m3u8
湖南卫视,http://124.116.183.146:9901/tsfile/live/0128_1.m3u8
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://218.17.33.178:53290/tsfile/live/0110_1.m3u8?key=txiptv
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
凤凰卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
江苏卫视,http://60.16.0.216:5757/hls/24/index.m3u8
吉林卫视,http://cssbyd.imwork.net:8082/hls/41/index.m3u8
湖南卫视,http://183.11.239.36:808/hls/36/index.m3u8
四川卫视,http://60.16.0.216:5757/hls/30/index.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
浙江卫视,http://58.57.40.22:9901/tsfile/live/1029_1.m3u8
重庆卫视,http://183.11.239.36:808/hls/53/index.m3u8
吉林卫视,http://183.11.239.36:808/hls/10/index.m3u8
甘肃卫视,http://223.241.247.214:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://58.57.40.22:9901/tsfile/live/1055_1.m3u8
黑龙江卫视,http://219.145.59.166:8888/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://223.241.247.214:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8
深圳卫视,http://61.184.46.85:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=6cb393d2489c6ff2fcdff5f9477c2904&wsTime=1765728056
陕西卫视,http://113.25.252.226:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
山东卫视,http://live.dxhmt.cn:9081/tv/11521-1.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
青海卫视,http://111.61.236.247:9081/hls/49/index.m3u8
天津卫视,http://61.184.46.85:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,https://srs.ssws.tv/video/sstv-10/index.m3u8
辽宁卫视,http://61.184.46.85:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://cssbyd.imwork.net:8082/hls/48/index.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
山东卫视,http://61.184.46.85:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
新疆卫视,http://live.wjyanghu.com/live/CH1.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8
青海卫视,http://120.238.94.10:9901/tsfile/live/1073_1.m3u8
云南卫视,http://cssbyd.imwork.net:8082/hls/36/index.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
天津卫视,http://182.150.23.74:808/hls/27/index.m3u8
星空卫视,http://111.221.137.155:44330/tsfile/live/0139_1.m3u8?key=txiptv
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
云南卫视,http://111.221.137.155:44330/tsfile/live/0116_1.m3u8?key=txiptv
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8
西藏卫视,http://183.11.239.36:808/hls/64/index.m3u8
云南卫视,http://120.238.94.10:9901/tsfile/live/1069_1.m3u8
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
东方卫视,http://222.169.85.8:9901/tsfile/live/0018_1.m3u8
吉林卫视,http://111.61.236.247:9081/hls/45/index.m3u8
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,https://mgtv.ottiptv.cc/mg/623899368.m3u8?userid=5559462299&sign=e4b0cc39dccbf034d3a0caee12eb9f177ef4a715e49049f3d0ea2972fee065532bff67dd9e50be44ed34633d7f1e7344953b866a85478f9a01bbcf5b25852f64d132e3efc8d0a6b70a63d484135bf8a384&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
海南卫视,https://mgtv.ottiptv.cc/mg/947472502.m3u8?userid=5559462299&sign=a237a03ec7fca560d4d1bfc5a1b04e4f635e603a6a78c8415f90a0f54d928e005d1a4d1f51602f5b49755955f2bc9decb96385c5c424bc6499afd169442f4a14a143e8ea35a177e914c65febe5c72f202f&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
深圳卫视,http://112.123.243.37:50085/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://182.150.23.74:808/hls/28/index.m3u8
甘肃卫视,http://120.238.94.10:9901/tsfile/live/1079_1.m3u8?key=txiptv
大湾区卫视,https://mgtv.ottiptv.cc/mg/608917627.m3u8?userid=5559462299&sign=b6957e46481b328957736f758fb408a78813f607643e89dc4ebefe1b4f619409651ed0c2365cec186d5f334c553341077baca93b96fc8a32a1af8208069622507f8af4b47e604ed272a2d09e9da904373e&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
湖南卫视,http://112.123.243.37:50085/tsfile/live/1002_1.m3u8
内蒙古卫视,http://cssbyd.imwork.net:8082/hls/44/index.m3u8
山西卫视,http://222.169.85.8:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://120.238.94.10:9901/tsfile/live/1076_1.m3u8
东方卫视,http://112.123.243.37:50085/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://183.11.239.36:808/hls/40/index.m3u8
四川卫视,http://120.238.94.10:9901/tsfile/live/1058_1.m3u8
陕西卫视,http://222.169.85.8:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,https://mgtv.ottiptv.cc/mg/947472500.m3u8?userid=5559462299&sign=9620a0a1dd755b77934808c02a682c94794b91211072549b2eb3cf3c91fb10592cd0c287b80e4a63ae680c40d69d3464bed563cb8565eaf9981c0c50272dde17064c762f8741aea333ac2b0692825b53d6&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
陕西卫视,https://mgtv.ottiptv.cc/mg/738910838.m3u8?userid=5559462299&sign=7e5e54b7296684de065d738f6807ab3667ee485e2d15a5a35da6e2fabe533e14ad043abc6fff1eddce0b9021094a342467ad65126f4555ab76efab627208f490d236de5f5ef3bae37b3d9b55d71520aab5&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
江西卫视,https://mgtv.ottiptv.cc/mg/783847495.m3u8?userid=5559462299&sign=4a60caa765ecfc544c0dd70138e7abc922a9de4a276d41ef95635708606d7ae48a92a6c0e74b399b4d6c8fa03b32e6520bc465d72c30bc801a1d5d3646b1deb2d3bed596e5e44a77470762a4490f892a88&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
山东卫视,http://222.169.85.8:9901/tsfile/live/0131_1.m3u8
湖北卫视,http://223.241.247.214:9901/tsfile/live/0132_1.m3u8
江苏卫视,http://182.150.23.74:808/hls/18/index.m3u8
广东卫视,http://222.169.85.8:9901/tsfile/live/0125_1.m3u8
河南卫视,http://39.164.160.249:9901/tsfile/live/0139_1.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd
北京卫视,http://182.150.23.74:808/hls/17/index.m3u8
河南卫视,https://mgtv.ottiptv.cc/mg/790187291.m3u8?userid=5559462299&sign=4c7a6f66ecb87c9bd682894691b2f4fb53c36bdf1bb7dc088df3890b7b5b53c5e60bb02f02e0400fcded12ec0dc0802ab79d162ef86a6f6d8b5482a700fd07cd022e26d59776bfbd8f748c362c5b5a1480&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
东南卫视,https://mgtv.ottiptv.cc/mg/849116810.m3u8?userid=5559462299&sign=1f10fd45e268e10c6fda5700a1ea25c9028ade7e57fd74b550c4ad7899e3d54fa085181e751b6ef665d619a580f50a668a3131cfec22468eabb59342b8c3ccb5e2a40775501dbcd16e46cc1d294e11de47&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
河南卫视,http://cssbyd.imwork.net:8082/hls/37/index.m3u8
陕西卫视,http://cssbyd.imwork.net:8082/hls/42/index.m3u8
海南卫视,http://cssbyd.imwork.net:8082/hls/31/index.m3u8
西藏卫视,http://cssbyd.imwork.net:8082/hls/46/index.m3u8
贵州卫视,http://cssbyd.imwork.net:8082/hls/39/index.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
